Question,Topic,Subtopic,Option 1,Option 2,Option 3,Option 4,Correct Answer
"It’s been 28 days since consummation of Charley’s mortgage loan. Today, the creditor learned that an event occurred relating to the settlement of the transaction that will change the amount Charley will have to pay toward the monthly principal and interest. Which one of the following is a correct description of what the creditor must now do?",Federal Mortgage-Related Laws,Truth in Lending Act (TILA),"It’s been fewer than 30 days since consummation, so the creditor has 30 days to deliver or mail corrected disclosures.","It’s been fewer than 30 days since consummation, so the creditor has 60 days to deliver or mail corrected disclosures.","It’s been more than 15 days since consummation, so the creditor has no further responsibility regarding this matter.",The requirement to send corrected disclosures only applies to non-numeric clerical errors; the principle of caveat emptor (buyer beware) applies otherwise.,0
Which of the following statements properly defines a qualified mortgage?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,One in which the borrower has a credit score of 780 or higher,One that meets stringent CFPB guidelines,One that's only offered by a credit union,One that's only offered by a savings and loan institution,0
For which of these situations would you recommend a conventional mortgage?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,"One spouse will join the workforce next year, which will significantly improve the buyers' financial status.",The buyers have 10% equity from their current home to put a down payment on the new home.,The buyers have a down payment of 20% and plan to stay in the home for the next 20 years.,The buyers have a high debt-to-income ratio and only 6% available as a down payment.,0
A creditor received an incomplete loan application and has chosen not to reject the application just yet. Does the creditor have any option at this point other than sending the applicant a written notification that the application is incomplete?,Federal Mortgage-Related Laws,Equal Credit Opportunity Act (ECOA),"No. However, the creditor will have to take adverse action within 15 days.",No. The creditor will have to go ahead and send the written notification.,Yes. The creditor can ask the applicant orally to complete the application.,Yes. The creditor can go ahead and fill out whatever information is missing.,0
"To comply with the ECOA, which of the following options do creditors have when providing a copy of appraisal results to borrowers?",Federal Mortgage-Related Laws,Equal Credit Opportunity Act (ECOA),Five business days after the transaction’s consummation,"Seven business days before consummation or appraisal completion, whichever is later",The earlier date of appraisal completion or three business days pre-consummation,Upon receipt of the borrower’s written request for an appraisal copy,0
How many years’ worth of records might a loan originator request when verifying alimony?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Four years,Three-and-a-half years,Three years,Two years,0
Anyone involved with taking residential mortgage loans and performing loan originations legally must be ______.,Uniform State Content,License Law and Regulation,Accepted,Licensed or registered,Unbiased and certified,Unlicensed,0
"In the context of mortgage loans, what is considered to be steering?",Ethics,Ethical Issues,A compliant practice,Consumer protection,Fair lending,Predatory lending,0
A consumer ends up paying more at closing than what was disclosed in the LE. The amount exceeds the legal tolerance threshold. What must the creditor do?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Have the consumer sign a consent form approving this overpay.,Refund any excess money within 60 calendar days of the closing.,Refund the excess amount within five business days.,Waive all closing fees.,0
A Loan Estimate’s charges and terms ______.,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Are necessary for the seller to know about,Have an expiration date,List a maximum loan amount that can be borrowed,Must be approved by the NMLS,0
Which Maryland law ensures that credit applications are evaluated without discrimination based on personal characteristics such as race or gender?,Uniform State Content,SAFE Act,Equal Credit Opportunity Act (ECOA),Maryland Consumer Protection Act,Maryland Credit Grantor Closed End Credit Act,Maryland Fair Credit Reporting Act,0
Carla is preparing to charge a customer for settlement services related to insurance. Which method or methods is she allowed to use when determining how much to charge?,Federal Mortgage-Related Laws,Truth in Lending Act (TILA),"Actual charge, average charge, or any other method Carla prefers",Actual charge only,Average charge only,Either actual charge or average charge,0
Which one of the following loan disclosure documents provides details about the costs of the transaction and is provided to borrowers no fewer than three days prior to closing?,Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),Closing Disclosure,Escrow Closing Notice,Loan Estimate,Mortgage Servicing Transfer Disclosure,0
What does servicing a mortgage loan involve?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,Collecting interest from escrow accounts.,Selling a mortgage loan on the secondary market.,Separating principal from interest and paying taxes or insurance included in those payments.,Setting interest rates.,0
What’s the purpose of the Disposal Rule?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,To allow individuals to end a customer relationship with a lender.,To encourage financial institutions to retain loan ownership rights.,To permit financial institutions to sell and service loans.,To prevent anyone from gaining access to consumers’ information.,0
How many days must applicants wait to retest if they fail their MLO exam on their first or second attempt?,Uniform State Content,State Mortgage Regulatory Agencies,10 days,15 days,20 days,30 days,0
"What is the relationship between TILA, RESPA, and TRID?",Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),The Dodd-Frank Act requires that lenders use the TILA-RESPA Integrated Disclosures (TRID).,TILA and RESPA require lenders to use TRID.,"TILA, RESPA, and TRID mandate the lender disclosures required for federally related transactions.",TRID mandates the type of disclosures for TILA- and RESPA-related transactions.,0
What act was created in 2008 to set standards for how mortgage loan originators are licensed and registered?,Uniform State Content,SAFE Act,Safety and Federal Enforcement for Mortgage Licensing Act of 2008,Science Fundamental Enforcement for Mortgagees Licensing Act of 2008,Secure and Fair Enforcement for Mortgage Licensing Act of 2008,Situational Financial Enticement for Mortgage Licensing Act of 2008,0
Which one of the following is a true statement regarding the ECOA?,Federal Mortgage-Related Laws,Equal Credit Opportunity Act (ECOA),Applicants can only be judged based upon their creditworthiness.,"Applicants may only be judged by race, income, and job stability.",Certain races are excluded from needing credit ratings.,The ECOA only affects applicants who are over the age of 65.,0
The federal Fair Housing Act includes the protected classes of ______.,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,"Color, religion, race, sex, disposable income, national origin, and familial status","Race, color, religion, national origin, sex, familial status, and disability","Religion, national origin, sex, familial status, disability, race, and profession","Sex, gender, familial status, national origin, religion, race, and color",0
Why is it important for a borrower to know if a property is in a special flood hazard area (SFHA)?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Borrowers with homes in a floodplain must purchase a standard homeowners policy.,"Borrowers with homes in a floodplain must purchase flood insurance, which is expensive and could affect their qualifying ratios.",Homes in a floodplain area aren't insurable.,Lenders won't fund loans on homes located in a floodplain.,0
What is a preliminary title report?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,An agreement by a title insurer to issue the final title insurance policy on the property,A request by the borrower to conduct a title search,A title insurance policy,Proof of ownership,0
"Jerry lives in Maine, but his family is moving to North Carolina. He’s been registered as an MLO for approximately three years. What will he need to obtain to do business in North Carolina?",Uniform State Content,License Law and Regulation,A special exception from his employer,Permission from the governor,Temporary authority,Three references from past employers,0
Which of the following net worth examples may a lender prefer to see for a borrower applying for a mortgage loan?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Assets are equal to liabilities.,Assets exceed liabilities.,Liabilities exceed assets.,The borrower has no assets.,0
Gary applied for a home equity line of credit from his federally insured bank so that he could make some renovations to his kitchen. The same bank holds the note on Gary’s home mortgage. Will the HELOC be subject to RESPA requirements?,Federal Mortgage-Related Laws,Real Estate Settlement Procedures Act (RESPA),"No, because Gary won't be using a real estate professional.","No, because there's no transfer of title involved.","Yes, because RESPA applies to any residential loan transaction from a federally insured financial institution, including home equity lines of credit.","Yes, because the bank is also the lender for his home mortgage. If he'd used a different lender, RESPA would not apply.",0
Which of the following is true of construction loans?,General Mortgage Knowledge,Mortgage Loan Products,The lender funds the loan up front.,"The loan can only be used on vacant land, not land with improvements already on it.",The loan is based on the builder’s plans for improvement and an appraisal.,This is a type of long-term financing with a low interest rate.,0
"Which of the following statements about early disclosures, such as the CHARM booklet or Notice of Right to Receive Credit Score, is true?",Mortgage Loan Origination Activities,Loan Inquiry and Application Process Requirements,"If transacting a loan for less than $200,000, the disclosures are optional.",Only mortgage entities that are considered depository financial institutions must provide disclosures to clients.,The disclosures are required by law and must be provided within three business days from the date the application is signed.,The disclosures can be waived if the consumer chooses.,0
What is a crucial requirement of Maryland credit laws regarding adverse action notices?,Uniform State Content,SAFE Act,Lenders must disclose the total interest charged over the life of the loan with the adverse action notice.,Lenders must explain the reasons for loan denial and provide information on obtaining a free credit report.,Lenders must offer a loan modification if the application is denied.,Lenders must provide an adverse action notice within 10 days of the application decision.,0
"You’re a loan originator working with a consumer, helping him to obtain a loan. What form does he need to sign for you to request this information?",Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,None of these forms,The Borrower’s Autograph Endorsement form,The Borrower's Credit Enhancement form,The Borrower’s Signature Authorization form,0
"MLO Marcus has a group of real estate agents and title companies who refer borrowers to him. As a general “thank you” for the business, he sends each of them a gift card. Is this a kickback?",Federal Mortgage-Related Laws,Real Estate Settlement Procedures Act (RESPA),"No, because he gave the gift cards as a general thank you, not specific to any transaction.","No, it’s professional courtesy to provide some form of monetary appreciation in exchange for business.","No, this is a highly recommended best practice to encourage business professionals to send referral business.","Yes, giving a gift card in this scenario is considered a kickback.",0
Which one of the following agencies does NOT federally regulate the mortgage industry?,Uniform State Content,State Mortgage Regulatory Agencies,Consumer Financial Protection Bureau (CFPB),Department of Housing and Urban Development (HUD),Federal Trade Commission (FTC),Internal Revenue Services (IRS),0
"Regarding consumer complaints, which of the following is true?",Ethics,Ethical Behavior Related to Loan Origination Activities,Lenders and specific MLOs may be the subject of a consumer’s Better Business Bureau complaint.,Lenders may not be the subject of a consumer’s Better Business Bureau complaint.,MLOs are exempt from consumer complaints; only lenders are subject to official complaints.,MLOs may not be the subject of a consumer’s Better Business Bureau complaint.,0
What is a mortgage guarantee fee?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,A fee associated with Regulation G,A fee charged by Fannie Mae and Freddie Mac to guarantee a mortgage loan,A fee charged to FHA borrowers,A fee charged to lenders that don’t make proper disclosures,0
Which one of the following types of loans doesn’t require borrowers to be provided with TRID disclosures?,Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),Construction loan,Loan made by a large creditor entity,Refinancing,Traditional mortgage,0
"A potential borrower has $385 in monthly non-housing debt obligations, and her anticipated mortgage payment is $1,103. Her gross income is $7,598, and her net income is $5,815. What’s her total DTI ratio?",Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,0.1451,0.1896,0.1958,0.2558,0
Licensee Bob is being investigated by his state regulatory authority for potentially violating license law. What must Bob do?,Uniform State Content,Compliance,He may ignore the investigation and carry on with business as usual.,He must comply and provide his documents if requested.,He must schedule an appointment for investigators to come by the office.,Reply with a denial letter no later than three days from receiving notice of the investigation.,0
What does the Red Flags Rule require organizations like financial institutions and creditors to do?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,Automatically issue a free annual credit report to every consumer in the U.S.,Correct any errors a consumer finds in an annual credit report.,Implement a written identity theft prevention program to detect identity theft risks.,Mark consumer accounts with a “red flag” if a poor credit history is detected.,0
"When MLO applicants apply for licensure, what must they do?",Uniform State Content,License Law and Regulation,Identify any family members who have been charged criminally.,Submit fingerprints through the NMLS to be submitted to the FBI for a background check.,Submit their credit card statements.,Write a letter to the NMLS Policy Committee.,0
The HUD-1 must be used to when performing transactions for which one of the following?,Mortgage Loan Origination Activities,Closing,All transactions involving commercial property,Every real estate transaction,Refinanced loan,Transactions backed by the U.S. Department of Veterans Affairs and Federal Housing Administration loans only,0
"Information in an MLOs file becomes available on the public record, including all of the following EXCEPT for which item?",Uniform State Content,SAFE Act,Employment history,Federal and state registrations,License information,Social Security number,0
Within what timeframe must a creditor provide notice to consumers if their loan is rejected?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,10 days,20 days,30 days,45 days,0
What standards does the Gramm-Leach-Bliley Act require of financial institutions?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,Adding insurance services to be offered to consumers,Marketing to consumers using nonpublic personal information,Safeguarding consumers’ nonpublic personal information,Selling a minimum amount of investment services to consumers,0
"Rob and Jill obtained a mortgage from Taylor Bank & Trust in 1998. In 2014, they obtained a second mortgage from Quail Loans. What is the loan with Quail Loans considered?",General Mortgage Knowledge,Terms Used in the Mortgage Industry,First mortgage,Graduated mortgage,Home equity line of credit,Junior mortgage,0
What is the purpose of the verification of deposit form?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,It allows the lender to release confidential information about the applicant to depository institutions.,It allows the lender to verify the applicant’s bank account number.,It allows the lender to verify the cash deposits listed on the applicant’s loan application.,It allows the lender to verify the down payment listed on the applicant’s loan application.,0
Which two figures are most important when determining whether a mortgage loan fits Regulation Z’s definition of a higher-priced mortgage loan?,Federal Mortgage-Related Laws,Truth in Lending Act (TILA),The annual percentage rate of the loan and the average prime offer rate for a comparable transaction,The annual percentage rate of the loan and the average prime offer rate for all home purchases in the area,The average prime offer rate for a comparable transaction and the price the seller originally paid for the property,The price the seller originally paid for the property and the price for which the property is now being purchased,0
How many identity theft red-flag sources do the identity theft rules identify?,Ethics,Ethical Issues,Five,Four,Three,Two,0
Private mortgage insurance protects the lender in case the borrower ______.,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Chooses to prepay,Decides to sell,Defaults on the loan,Refinances,0
"Wanda applied for a mortgage loan. While her husband, Raoul, isn’t listed as a co-signer, Wanda listed her husband’s employment salary as a source of income on the loan application. Under the ECOA, what may the lender do in this situation?",Federal Mortgage-Related Laws,Equal Credit Opportunity Act (ECOA),The lender may ask if Wanda or Raoul have ever been in other marriages.,The lender may ask questions about Raoul to assess his creditworthiness.,The lender may deny Raoul’s income as valid unless he is a co-signer on the loan.,The lender may require Raoul to co-sign on the loan.,0
A lender is helping a borrower obtain loan qualification. On which of the following can the lender base the qualification?,Federal Mortgage-Related Laws,Equal Credit Opportunity Act (ECOA),The borrower's credit score,The borrower's marital status,The borrower's nationality,The borrower's sex,0
What happens when an MLO’s sponsorship is removed?,Uniform State Content,License Law and Regulation,Either the employee or company notifies HUD to suspend the sponsorship.,Either the employee or company notifies the NMLS to remove the sponsorship.,The company notifies the CFPB to remove the sponsorship.,The employee must contact the NMLS to suspend the sponsorship.,0
An MLO reviews a loan file application. The applicant is 19 years old and purchasing a multi-million-dollar property. The applicant has held a full-time job for one year. What should the MLO do in this scenario?,Ethics,Ethical Issues,"Nothing, because no evidence of fraud exists.",Request a copy of the sales contract.,Request a second income verification.,Review the bank activity and ask follow-up questions.,0
The federal Fair Housing Act prohibits discrimination in which of the following real estate transaction types?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,Commercial property rentals,Commercial property sales,Residential or commercial property financing,Residential property financing,0
Martha signed a refinancing contract on her home just a few days ago. But now she is nervous she won’t be able to make the payments since she’s just taken a new job that doesn’t pay as well as her last job. She can cancel the contract if she acts quickly. This is referred to as ______.,Mortgage Loan Origination Activities,Closing,Assignment,Breach of contract,Novation,Right of rescission,0
"According to the RESPA, what is a kickback?",Federal Mortgage-Related Laws,Real Estate Settlement Procedures Act (RESPA),Any fee paid for actual services rendered,Any fees that cover the costs of originating a loan,Any item of value received in return for referring business to a settlement service provider,Educational material provided without receiving a referral in exchange,0
What does CFPB stand for?,Uniform State Content,State Mortgage Regulatory Agencies,Capital Future Protection Board,Community Future Planning Board,Consumer Finance Profitability Bureau,Consumer Financial Protection Bureau,0
"To accept a cash down payment gift from a donor, what will borrowers need to submit during loan origination?",Mortgage Loan Origination Activities,Loan Inquiry and Application Process Requirements,A letter from the sellers accepting the gift,A written note from their employer,Evidence of the gift fund transfer,Their last five bank statements,0
Which of the following items would an owner's extended coverage (OEC) title policy cover?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Damage to the property value from the use of easements that appeared in the public record,Flood hazards not covered by traditional homeowner's insurance,Publicly recorded deeds and other events affecting title to the property,Unrecorded mechanic's liens,0
What is a primary requirement of Maryland law for lenders when denying a mortgage application based on adverse information?,Uniform State Content,SAFE Act,Lenders must offer alternative financing options to help applicants find other potential solutions.,Lenders must provide an opportunity for a personal meeting to discuss the denial.,Lenders must provide a written notice with denial reasons and details on obtaining a free credit report.,"To provide comprehensive information, lenders must include a detailed loan agreement and the denial notice.",0
Mortgage loan rescission allows a borrower to ______.,Mortgage Loan Origination Activities,Closing,Choose a different loan program,Find a different lender to carry the loan,Retract a first lien mortgage loan after signing,Retract the second or restructured mortgage signed for at closing,0
Why do mortgage licensees need ongoing training?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,They don't; they get plenty of real-world practice.,They need it to develop new skills and stay on top of law and policy changes.,They need it to learn how to get around laws and rules without repercussion.,They only need it once a problem becomes apparent.,0
"When originating a nontraditional mortgage loan, what increases the risk?",General Mortgage Knowledge,Terms Used in the Mortgage Industry,Adding a co-signer,Adding a loan feature,Documenting the borrower's assets,Having stringent underwriting guidelines,0
Charlotte is in the process of buying a new home. She plans to use cash from a gift given for her down payment. From whom may she accept the gift?,Mortgage Loan Origination Activities,Loan Inquiry and Application Process Requirements,Her bank,Her best friend,Her co-worker,Her fiancé,0
"According to the definition of an MLO under the SAFE Act, a loan originator does not include which one of the following people?",Uniform State Content,License Law and Regulation,Administrative or clerical personnel working for an MLO,An individual who takes loan applications,A person who offers or negotiates terms of a residential mortgage loan for compensation or gain,Someone who negotiates loans for a mortgage lender,0
MLOs ______ their books and records available for a state licensing agency to access.,Uniform State Content,Compliance,Are not responsible for making,Must always make,Must never make,Must sometimes make,0
What type of insurance is a form of indemnity insurance that can protect both borrowers and their lender?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Collateral insurance,Hazard insurance,Mortgage insurance,Title insurance,0
Who performs closing services according to the Code of Federal Regulations?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Borrower’s real estate agent,Closing agent,Mortgage loan originator,Seller’s real estate agent,0
The CSBS and AARMR have said which one of the following is a way to mitigate the risks associated with nontraditional mortgage products?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,Avoid risk management practices.,Expand loan terms.,Provide consumer communication and education opportunities.,Stop offering nontraditional mortgage products and loan features.,0
"Mac is a new loan originator. He’s responding to a consumer’s inquiry. In a rush, he puts his boss’s UI in the email instead of his own. What has Mac done wrong?",Uniform State Content,Compliance,Omitted debt not on a credit report.,Paid for the real estate agent’s ads.,Used bait-and-switch advertising.,Used his supervisor's NMLS UI.,0
State agency-regulated institutions ______ to make their loan originators comply with financial laws and regulations.,Uniform State Content,State Mortgage Regulatory Agencies,Are legally not required,Are not required,Are required,Need a lot of help,0
A borrower is applying for an FHA loan. What’s the least amount the borrower should plan on paying as a down payment?,Mortgage Loan Origination Activities,Financial Calculations,0.2,0.03,0.035,No down payment is required.,0
"A homebuyer purchased a house for $220,000 and financed $200,000 with a 30-year conventional mortgage at 4% interest. His monthly principal and interest payment is $955. The annual property taxes are $1,400, and the combined annual insurance premium is $900. What is the buyer’s PITI payment each month?",Mortgage Loan Origination Activities,Financial Calculations,1146.67,1153.67,1176.5,1364.94,0
What’s the first step in determining loan suitability for a consumer?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Determine the loan(s) for which the borrower qualifies.,Determine which loan will give them the most significant net benefit.,Identify how much the borrowers will pay monthly.,It’s entirely up to the customer to determine loan suitability.,0
"A telemarketer called a consumer every day for a week because, on the first call, the individual was rude and then hung up on him. How would the TSR define the telemarketer's conduct?",Ethics,Ethical Issues,Abusive,Deceptive,Disproportionate,Persuasive,0
"Using the calendar year method, what is the daily rate for an annual tax bill of $4,662?",Mortgage Loan Origination Activities,Financial Calculations,12.77,12.95,155.4,388.5,0
Gus believes he was the victim of a bait-and-switch scheme because his loan originator ______.,Uniform State Content,Compliance,Denied his loan at the last minute,Gave him the exact loan he was promised,Swapped his loan for a less appealing one,Swapped his loan for a more appealing one,0
"Per the E-Sign Act, mortgage loan disclosures and records that have been delivered and signed electronically are ______.",Federal Mortgage-Related Laws,Equal Credit Opportunity Act (ECOA),Illegal,Unenforceable,Valid and enforceable,Voidable,0
Which one of the following laws focuses on unfair high-rate loan practices?,Federal Mortgage-Related Laws,Truth in Lending Act (TILA),Fair Lending Act,Homebuyer Protection Act,Home Ownership and Equity Protection Act,Lender Protection Act,0
"When a borrower applies for a loan that will be secured by a first lien on a dwelling, what’s the lender required to provide related to the property’s value?",Federal Mortgage-Related Laws,Equal Credit Opportunity Act (ECOA),A boundary survey,A comparative market analysis,A copy of the appraisal,A free appraisal,0
A borrower doesn’t want to provide demographic information on the loan application. What should you do?,Mortgage Loan Origination Activities,Loan Inquiry and Application Process Requirements,Complete the section based on conversations with the borrower.,Complete the section based on your visual observation of the borrower.,Leave the Demographic section blank.,Refuse to process the application.,0
Which loan disclosure form provides buyers with an approximation of the costs they're likely to pay at settlement?,Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),Closing Disclosure,HUD-1 statement,Loan Estimate,Mortgage Servicing Transfer Disclosure,0
Who is responsible during the escrow process for distributing funds for things like the appraisal and loan fees in Arizona?,Uniform State Content,License Law and Regulation,The borrower,The escrow agent,The mortgage broker,The real estate agent,0
"Gabriela works for a lender. On Monday of this week, she received an application from someone who is looking for a loan. How long has she got to provide the applicant with a GFE?",Federal Mortgage-Related Laws,Real Estate Settlement Procedures Act (RESPA),"Until Friday, four business days later","Until the following Monday, one week later","Until Thursday, three business days later","Until Wednesday, two business days later",0
A borrower has three days to reconsider his decision and back out of the loan process. What is this time period known as?,Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),Evaluation period,Grace period,Right of rescission,Right to reconsider,0
Which one of the following statements about title insurance is false?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Title insurance protects the buyer against loss resulting from previously unreported title defects.,Title insurance protects the lender against any future default in the buyer's payments.,Title insurance protects the lender from loss due to defective title.,Title insurance provides assurance that the property owner has marketable title.,0
A loan origination fee is best described as a fee that a lender charges _____.,Mortgage Loan Origination Activities,Closing,For processing a loan,For servicing a loan,For the use of its money,When a borrower pays off a loan,0
Which tolerance threshold applies to escrow accounts?,Mortgage Loan Origination Activities,Loan Inquiry and Application Process Requirements,10% tolerance,It depends on certain factors.,No or unlimited tolerance,Zero tolerance,0
"An MLO created an advertisement that stated, “Mortgage loans for applicants with all types of credit. Affordable monthly payments available.” To comply with TILA, what must this ad include related to trigger terms?",Federal Mortgage-Related Laws,Truth in Lending Act (TILA),Nothing more is required.,The annual percentage rate for loans,The required monthly payment amount,The total number of payments required,0
Which type of home loan did Deferred Action for Childhood Arrivals (DACA) recipients recently become eligible for?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,Federal Housing Administration (FHA) loans,Jumbo loans,U.S. Department of Agriculture (USDA) loans,U.S. Department of Veterans Affairs (VA) loans,0
______ is the federal entity that regulates MLO activity.,Uniform State Content,Compliance,The Capital Freestanding Policing Division,The Client Financial Protection Bulletin,The Consumer Financial Protection Bureau,The Customer Functional Processing Department,0
What form assures the title company and the buyer that the seller has not introduced new title defects and has revealed any non-publicly known title defects?,Mortgage Loan Origination Activities,Closing,Affidavit and Agreement,Affidavit of Clear Title,Affidavit of Liens,Liens and Encumbrances Declaration,0
"In calculating PITI for a mortgage payment, the annual taxes and insurance are divided by ______ and are added to the monthly principal and interest payment to make up the total monthly payment.",Mortgage Loan Origination Activities,Financial Calculations,10,12,4,6,0
"Billie responded to an advertisement about refinancing her mortgage loan because she thought it was a special government program, as indicated by the ad. She learned that a private lender, not the government, refinanced her loan. This misrepresentation was related to ______.",Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,Ability to refinance or modify,Debt reduction,Default potential,Product association,0
Which one of the following is NOT the applicable loan type that requires use of the HUD-1 form?,Mortgage Loan Origination Activities,Closing,A buyer who’s never purchased a home and has exceptional credit,A homeowner looking to obtain a line of credit using his property to secure the loan,A homeowner who is looking to secure a better interest rate than the current mortgage interest rate,A homeowner who needs cash and borrows money against equity in the home,0
"A borrower’s monthly mortgage payment is $1,256.28. His annual property taxes are $809, and his annual insurance premium is $712. How much of his payment goes toward the principal and interest?",Mortgage Loan Origination Activities,Financial Calculations,1126.75,1129.53,1256.28,1521.56,0
